surface_form,entry_type,pinyin,tone,definition,radical,stroke_count,hsk_level,frequency_rank,note
어디,word,eodi,,Where?,,,A,155,"Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=156, 1730; source_complexity=A; pos=대, 감; classification=pronoun, interjection; senses=1"
몸,word,mom,,"body,physique",,,A,156,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=157; source_complexity=A; pos=명; classification=noun; senses=1
얼굴,word,eolgul,,Face,,,A,157,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=158; source_complexity=A; pos=명; classification=noun; senses=1
들어가다,word,deureogada,,to go into; to enter,,,A,158,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=159; source_complexity=A; pos=동; classification=verb; senses=1
왜,word,wae,,Why?,,,A,159,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=160; source_complexity=A; pos=부; classification=adverb; senses=1
나타나다,word,natanada,,"Come out, appear",,,B,160,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=161; source_complexity=B; pos=동; classification=verb; senses=1
말다,word,malda,,Cease,,,A,161,"Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=162, 559, 4273; source_complexity=A, C; pos=보, 동; classification=auxiliary verb, verb; hanja_ref=그만두다, 감다; senses=1"
지역,word,jiyeok,,"An area, region",,,B,162,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=163; source_complexity=B; pos=명; classification=noun; hanja_ref=地域; senses=1
다르다,word,dareuda,,Be different,,,A,163,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=164; source_complexity=A; pos=형; classification=adjective; senses=1
모습,word,moseup,,"shape,body",,,B,164,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=165; source_complexity=B; pos=명; classification=noun; senses=1
물,word,mul,,Water,,,A,165,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=166; source_complexity=A; pos=명; classification=noun; hanja_ref=바닷~; senses=1
만나다,word,mannada,,Meet,,,A,166,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=167; source_complexity=A; pos=동; classification=verb; senses=1
내다,word,naeda,,produce something,,,A,167,"Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=168, 183; source_complexity=A; pos=동, 보; classification=verb, auxiliary verb; hanja_ref=길을~, 참아~; senses=1"
쓰다,word,sseuda,,"To write; to use, to take (medicine); to wear, to put on (a hat, helmet, etc., on one's head; a mask, pair of glasses, etc.); to be bitter",,,A,169,"Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=170, 176, 1685, 5689; source_complexity=A, B; pos=동, 형; classification=verb, adjective; hanja_ref=글씨를~, 약을~, 모자를~, 나물이~; senses=4"
이것,word,igeos,,This thing,,,A,170,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=171; source_complexity=A; pos=대; classification=pronoun; senses=1
없이,word,eopsi,,Without,,,B,171,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=172; source_complexity=B; pos=부; classification=adverb; senses=1
이번,word,ibeon,,This time,,,A,172,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=173; source_complexity=A; pos=명; classification=noun; hanja_ref=-番; senses=1
길,word,gil,,Road,,,A,173,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=174; source_complexity=A; pos=명; classification=noun; hanja_ref=도로; senses=1
생활,word,saenghwal,,"lifestyle,livelihood",,,A,174,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=175; source_complexity=A; pos=명; classification=noun; hanja_ref=生活; senses=1
지금,word,jigeum,,Now,,,A,176,"Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=177, 196; source_complexity=A; pos=명, 부; classification=noun, adverb; hanja_ref=只今; senses=1"
뿐,word,ppun,,"only,alone,merely",,,B,177,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=178; source_complexity=B; pos=의; classification=noun; senses=1
사이,word,sai,,space between 2 points; the relationship between 2 people,,,A,178,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=179; source_complexity=A; pos=명; classification=noun; senses=1
방법,word,bangbeop,,"Way, method",,,B,179,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=180; source_complexity=B; pos=명; classification=noun; hanja_ref=方法; senses=1
새롭다,word,saeropda,,"To be new,novel",,,C,180,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=181; source_complexity=C; pos=형; classification=adjective; senses=1
우리나라,word,urinara,,Korea,,,A,181,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=182; source_complexity=A; pos=명; classification=noun; senses=1
앉다,word,anjda,,To sit down,,,A,183,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=184; source_complexity=A; pos=동; classification=verb; senses=1
처음,word,cheoeum,,First,,,A,184,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=185; source_complexity=A; pos=명; classification=noun; senses=1
손,word,son,,The hand,,,A,185,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=186; source_complexity=A; pos=명; classification=noun; hanja_ref=신체의일부; senses=1
몇,word,myeocc,,A few,,,A,186,"Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=187, 3298; source_complexity=A; pos=관, 수; classification=attributive, numeral; senses=1"
그때,word,geuttae,,Then or at that time,,,A,187,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=188; source_complexity=A; pos=명; classification=noun; senses=1
과정,word,gwajeong,,"Process,  course of events; Process or course",,,C,188,"Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=189, 4641; source_complexity=C; pos=명; classification=noun; hanja_ref=過程, 課程; senses=2"
삶,word,salm,,Life,,,C,189,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=190; source_complexity=C; pos=명; classification=noun; senses=1
갖다,word,gajda,,"to have, hold, own; To hold",,,B,190,"Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=191, 3144; source_complexity=B; pos=동, 보; classification=verb, auxiliary verb; hanja_ref=가지다; senses=2"
찾다,word,chajda,,"seek,look for",,,A,191,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=192; source_complexity=A; pos=동; classification=verb; senses=1
특히,word,teukhi,,Especially,,,B,192,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=193; source_complexity=B; pos=부; classification=adverb; hanja_ref=特-; senses=1
시,word,si,,"Time; poem, poetry; town, city",,,A,193,"Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=194, 434, 2442; source_complexity=A, C; pos=의, 명; classification=noun; hanja_ref=時, 詩, 市; senses=3"
이상,word,isang,,"More than, above; strange, abnormal, odd, weird, bizarre; ideal",,,B,194,"Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=195, 1954, 2474; source_complexity=B; pos=명; classification=noun; hanja_ref=以上, 異常, 理想; senses=3"
나가다,word,nagada,,To go out,,,A,196,"Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=197, 367; source_complexity=A; pos=동, 보; classification=verb, auxiliary verb; senses=1"
이야기,word,iyagi,,"Conversation, talk",,,A,197,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=198; source_complexity=A; pos=명; classification=noun; senses=1
교육,word,gyoyuk,,Education,,,B,198,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=199; source_complexity=B; pos=명; classification=noun; hanja_ref=敎育; senses=1
사다,word,sada,,"To buy, purchase",,,A,199,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=200; source_complexity=A; pos=동; classification=verb; senses=1
경제,word,gyeongje,,Economy,,,B,200,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=201; source_complexity=B; pos=명; classification=noun; hanja_ref=經濟; senses=1
아직,word,ajik,,Still,,,A,201,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=202; source_complexity=A; pos=부; classification=adverb; senses=1
잡다,word,japda,,"seize,catch",,,A,202,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=203; source_complexity=A; pos=동; classification=verb; senses=1
같이,word,gati,,Together,,,A,203,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=204; source_complexity=A; pos=부; classification=adverb; senses=1
선생님,word,seonsaengnim,,Teacher,,,A,204,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=205; source_complexity=A; pos=명; classification=noun; hanja_ref=先生-; senses=1
예술,word,yesul,,"Art, an art",,,B,205,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=206; source_complexity=B; pos=명; classification=noun; hanja_ref=藝術; senses=1
서다,word,seoda,,To stand,,,A,206,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=207; source_complexity=A; pos=동; classification=verb; senses=1
못,word,mos,,Cannot; nail; peg; spike,,,A,207,"Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=208, 3300; source_complexity=A, C; pos=부, 명; classification=adverb, noun; hanja_ref=벽에~을박다; senses=2"
역사,word,yeoksa,,History,,,A,208,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=209; source_complexity=A; pos=명; classification=noun; hanja_ref=歷史; senses=1
읽다,word,ilkda,,To read,,,A,209,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=210; source_complexity=A; pos=동; classification=verb; senses=1
이제,word,ije,,Now,,,A,210,"Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=211, 368; source_complexity=A; pos=부, 명; classification=adverb, noun; senses=1"
결과,word,gyeolgwa,,Result,,,B,211,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=212; source_complexity=B; pos=명; classification=noun; hanja_ref=結果; senses=1
내용,word,naeyong,,Contents,,,B,212,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=213; source_complexity=B; pos=명; classification=noun; hanja_ref=內容; senses=1
물론,word,mullon,,Of course,,,A,213,"Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=214, 1353; source_complexity=A, B; pos=부, 명; classification=adverb, noun; hanja_ref=勿論; senses=1"
동안,word,dongan,,"interval, period of time",,,A,214,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=215; source_complexity=A; pos=명; classification=noun; hanja_ref=시간의길이; senses=1
책,word,chaek,,A book,,,A,215,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=216; source_complexity=A; pos=명; classification=noun; hanja_ref=冊; senses=1
일어나다,word,ireonada,,"To rise, get up",,,A,216,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=217; source_complexity=A; pos=동; classification=verb; senses=1
당신,word,dangsin,,Formal you,,,B,217,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=218; source_complexity=B; pos=대; classification=pronoun; hanja_ref=當身; senses=1
시장,word,sijang,,"market,fair; 1. mayor",,,A,218,"Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=219, 4380; source_complexity=A, C; pos=명; classification=noun; hanja_ref=市場, 市長; senses=2"
넣다,word,neohda,,"Put in, set in",,,A,219,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=220; source_complexity=A; pos=동; classification=verb; senses=1
중요하다,word,jungyohada,,"To be important,weighty",,,A,220,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=221; source_complexity=A; pos=형; classification=adjective; hanja_ref=重要-; senses=1
무슨,word,museun,,"What, what kind of",,,A,221,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=222; source_complexity=A; pos=관; classification=attributive; senses=1
느끼다,word,neukkida,,To feel,,,B,222,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=223; source_complexity=B; pos=동; classification=verb; hanja_ref=추위를~; senses=1
어렵다,word,eoryeopda,,"To be hard, difficult",,,A,223,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=224; source_complexity=A; pos=형; classification=adjective; senses=1
힘,word,him,,Power,,,A,224,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=225; source_complexity=A; pos=명; classification=noun; senses=1
너무,word,neomu,,Too much,,,A,225,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=226; source_complexity=A; pos=부; classification=adverb; senses=1
나라,word,nara,,A country,,,A,226,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=227; source_complexity=A; pos=명; classification=noun; senses=1
부르다,word,bureuda,,To call; to be full (from eating),,,A,227,"Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=228, 4671; source_complexity=A, B; pos=동, 형; classification=verb, adjective; hanja_ref=이름을~, 배가~; senses=2"
의미,word,uimi,,"A meaning, a sense",,,B,228,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=229; source_complexity=B; pos=명; classification=noun; hanja_ref=意味; senses=1
자리,word,jari,,"seat,spot",,,A,229,"Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=230, 4863; source_complexity=A, C; pos=명; classification=noun; hanja_ref=~가없다, ~를깔다; senses=1"
밝히다,word,balkhida,,To light up,,,B,230,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=231; source_complexity=B; pos=동; classification=verb; senses=1
죽다,word,jukda,,"die,pass away; (hyperbolic) to be unbearable, to be irresistible, to die of x",,,A,231,"Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=232, 4779; source_complexity=A, B; pos=동, 보; classification=verb, auxiliary verb; hanja_ref=굶어~, 심심해~; senses=2"
이미,word,imi,,Already,,,B,232,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=233; source_complexity=B; pos=부; classification=adverb; senses=1
쪽,word,jjok,,"Way, direction; side, Way, direction; a part, piece",,,A,233,"Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=234, 4713, 5038; source_complexity=A, B, C; pos=의, 명; classification=noun; hanja_ref=방향, 면, 부분; senses=3"
